,obstacle_positions
3219,"[[1, 29, -1, 27]]"
3220,"[[14, 78, 12, 76], [9, 277, 7, 275], [0, 253, -2, 251], [15, 260, 13, 258], [6, 152, 4, 150], [4, 133, 2, 131], [16, 101, 14, 99], [15, 137, 13, 135], [4, 266, 2, 264]]"
3221,"[[3, 278, 1, 276], [4, 234, 2, 232], [2, 153, 0, 151], [4, 190, 2, 188], [2, 70, 0, 68], [2, 116, 0, 114]]"
3222,"[[6, 204, 4, 202], [2, 201, 0, 199]]"
3223,"[[4, 4, 2, 2]]"
3224,"[[4, 99, 2, 97], [4, 21, 2, 19], [8, 39, 6, 37], [2, 159, 0, 157]]"
3225,"[[5, 19, 3, 17], [6, 257, 4, 255], [0, 129, -2, 127], [6, 172, 4, 170], [7, 267, 5, 265], [4, 211, 2, 209], [1, 79, -1, 77], [5, 11, 3, 9]]"
3226,[]
3227,"[[7, 231, 5, 229], [5, 259, 3, 257], [3, 129, 1, 127], [7, 295, 5, 293], [5, 278, 3, 276], [5, 203, 3, 201], [0, 217, -2, 215], [8, 291, 6, 289], [7, 45, 5, 43], [3, 149, 1, 147]]"
3228,"[[7, 142, 5, 140], [0, 40, -2, 38], [9, 156, 7, 154], [7, 282, 5, 280], [14, 63, 12, 61], [14, 69, 12, 67], [8, 30, 6, 28], [1, 96, -1, 94], [1, 218, -1, 216], [4, 93, 2, 91]]"
3229,"[[1, 191, -1, 189], [15, 72, 13, 70], [14, 222, 12, 220], [7, 31, 5, 29], [7, 124, 5, 122], [7, 100, 5, 98]]"
3230,"[[0, 196, -2, 194]]"
3231,"[[4, 286, 2, 284], [3, 188, 1, 186], [5, 191, 3, 189], [2, 176, 0, 174], [7, 163, 5, 161], [5, 240, 3, 238], [3, 195, 1, 193], [6, 289, 4, 287]]"
3232,"[[7, 51, 5, 49], [0, 290, -2, 288], [13, 131, 11, 129], [15, 205, 13, 203], [2, 255, 0, 253], [3, 193, 1, 191], [4, 172, 2, 170], [5, 127, 3, 125]]"
3233,[]
3234,"[[0, 89, -2, 87]]"
3235,"[[2, 256, 0, 254], [1, 9, -1, 7], [2, 16, 0, 14], [0, 217, -2, 215], [2, 291, 0, 289], [4, 35, 2, 33], [4, 142, 2, 140], [3, 48, 1, 46]]"
3236,"[[6, 282, 4, 280], [4, 41, 2, 39], [6, 146, 4, 144]]"
3237,[]
3238,[]
3239,"[[13, 218, 11, 216], [2, 2, 0, 0], [13, 295, 11, 293], [9, 269, 7, 267]]"
3240,"[[4, 193, 2, 191], [4, 248, 2, 246], [7, 44, 5, 42], [9, 300, 7, 298], [9, 206, 7, 204], [0, 195, -2, 193], [2, 217, 0, 215], [1, 85, -1, 83], [0, 154, -2, 152], [1, 63, -1, 61]]"
3241,"[[0, 182, -2, 180], [4, 29, 2, 27], [3, 222, 1, 220]]"
3242,"[[13, 88, 11, 86], [7, 45, 5, 43]]"
3243,"[[7, 72, 5, 70], [2, 227, 0, 225], [3, 275, 1, 273], [9, 82, 7, 80], [8, 31, 6, 29], [2, 146, 0, 144], [17, 140, 15, 138], [11, 143, 9, 141], [9, 209, 7, 207]]"
3244,"[[9, 68, 7, 66], [3, 86, 1, 84], [9, 6, 7, 4], [13, 91, 11, 89], [6, 249, 4, 247], [4, 104, 2, 102], [4, 22, 2, 20], [2, 262, 0, 260], [6, 126, 4, 124], [7, 261, 5, 259]]"
3245,"[[12, 252, 10, 250], [4, 183, 2, 181], [9, 83, 7, 81], [13, 232, 11, 230], [12, 165, 10, 163], [13, 89, 11, 87], [6, 106, 4, 104], [4, 293, 2, 291], [3, 71, 1, 69], [10, 40, 8, 38]]"
3246,[]
3247,"[[5, 142, 3, 140], [8, 27, 6, 25], [4, 52, 2, 50], [0, 183, -2, 181], [6, 117, 4, 115], [7, 129, 5, 127], [1, 269, -1, 267]]"
3248,"[[15, 15, 13, 13], [4, 212, 2, 210], [5, 68, 3, 66], [1, 220, -1, 218], [6, 114, 4, 112], [5, 187, 3, 185], [15, 200, 13, 198], [2, 213, 0, 211], [11, 185, 9, 183]]"
3249,"[[12, 48, 10, 46], [11, 185, 9, 183], [12, 183, 10, 181], [4, 285, 2, 283], [8, 137, 6, 135], [3, 228, 1, 226], [12, 94, 10, 92]]"
3250,"[[1, 105, -1, 103], [2, 122, 0, 120], [2, 202, 0, 200], [2, 204, 0, 202]]"
3251,"[[1, 81, -1, 79], [2, 15, 0, 13], [2, 71, 0, 69], [6, 250, 4, 248], [3, 289, 1, 287]]"
3252,"[[8, 148, 6, 146], [4, 168, 2, 166], [5, 191, 3, 189], [9, 200, 7, 198], [1, 7, -1, 5], [1, 69, -1, 67], [6, 124, 4, 122], [8, 248, 6, 246], [8, 191, 6, 189], [6, 57, 4, 55]]"
3253,"[[5, 258, 3, 256], [0, 247, -2, 245], [3, 41, 1, 39], [0, 255, -2, 253], [4, 79, 2, 77], [0, 277, -2, 275], [0, 132, -2, 130], [2, 287, 0, 285], [2, 107, 0, 105], [4, 7, 2, 5]]"
3254,"[[5, 236, 3, 234], [1, 132, -1, 130], [6, 167, 4, 165], [1, 128, -1, 126], [2, 8, 0, 6], [2, 153, 0, 151], [2, 101, 0, 99], [5, 17, 3, 15]]"
3255,"[[6, 288, 4, 286], [9, 210, 7, 208], [2, 15, 0, 13], [11, 167, 9, 165], [2, 197, 0, 195], [2, 275, 0, 273], [4, 27, 2, 25], [6, 76, 4, 74]]"
3256,"[[3, 127, 1, 125], [1, 187, -1, 185]]"
3257,"[[3, 247, 1, 245], [0, 81, -2, 79], [2, 105, 0, 103], [3, 234, 1, 232], [4, 261, 2, 259], [3, 176, 1, 174], [0, 240, -2, 238], [5, 171, 3, 169], [7, 217, 5, 215], [5, 99, 3, 97]]"
3258,"[[6, 273, 4, 271], [4, 102, 2, 100], [10, 8, 8, 6], [2, 185, 0, 183], [3, 225, 1, 223], [12, 29, 10, 27], [10, 26, 8, 24], [11, 280, 9, 278]]"
3259,"[[6, 289, 4, 287], [7, 76, 5, 74], [5, 251, 3, 249], [5, 118, 3, 116], [1, 65, -1, 63]]"
3260,"[[5, 300, 3, 298]]"
3261,"[[3, 162, 1, 160], [1, 227, -1, 225]]"
3262,"[[2, 16, 0, 14], [1, 237, -1, 235], [2, 67, 0, 65], [1, 183, -1, 181]]"
3263,"[[16, 12, 14, 10], [7, 260, 5, 258], [1, 102, -1, 100], [3, 60, 1, 58]]"
3264,"[[2, 204, 0, 202], [0, 106, -2, 104]]"
3265,"[[5, 88, 3, 86], [11, 299, 9, 297], [9, 102, 7, 100], [7, 116, 5, 114], [1, 176, -1, 174], [9, 35, 7, 33], [4, 154, 2, 152], [9, 173, 7, 171], [3, 161, 1, 159], [9, 249, 7, 247]]"
3266,"[[9, 290, 7, 288], [7, 17, 5, 15], [8, 146, 6, 144], [7, 47, 5, 45], [1, 227, -1, 225], [4, 154, 2, 152], [1, 103, -1, 101], [9, 182, 7, 180], [7, 114, 5, 112], [5, 173, 3, 171]]"
3267,"[[5, 295, 3, 293], [8, 74, 6, 72], [4, 167, 2, 165], [2, 216, 0, 214], [12, 219, 10, 217], [13, 71, 11, 69], [8, 222, 6, 220], [16, 144, 14, 142], [12, 247, 10, 245]]"
3268,"[[1, 62, -1, 60], [9, 154, 7, 152], [1, 115, -1, 113], [1, 217, -1, 215], [9, 101, 7, 99], [2, 41, 0, 39]]"
3269,"[[2, 92, 0, 90], [2, 219, 0, 217], [3, 268, 1, 266], [1, 277, -1, 275], [1, 63, -1, 61], [3, 117, 1, 115], [1, 5, -1, 3]]"
3270,"[[2, 35, 0, 33]]"
3271,"[[1, 213, -1, 211], [6, 138, 4, 136], [8, 63, 6, 61], [5, 266, 3, 264], [6, 290, 4, 288], [8, 188, 6, 186], [1, 88, -1, 86], [2, 119, 0, 117]]"
3272,"[[1, 111, -1, 109], [1, 53, -1, 51], [1, 23, -1, 21], [0, 131, -2, 129]]"
3273,"[[1, 8, -1, 6], [0, 168, -2, 166]]"
3274,"[[3, 155, 1, 153], [3, 259, 1, 257], [0, 73, -2, 71], [0, 81, -2, 79], [2, 91, 0, 89]]"
3275,"[[6, 100, 4, 98], [4, 254, 2, 252], [6, 18, 4, 16], [7, 54, 5, 52], [3, 248, 1, 246], [4, 186, 2, 184], [0, 53, -2, 51], [6, 66, 4, 64], [3, 183, 1, 181]]"
3276,"[[4, 97, 2, 95], [2, 259, 0, 257], [1, 198, -1, 196], [4, 60, 2, 58], [4, 142, 2, 140]]"
3277,"[[2, 115, 0, 113], [13, 216, 11, 214], [4, 219, 2, 217], [13, 24, 11, 22], [14, 102, 12, 100], [1, 247, -1, 245], [6, 124, 4, 122], [6, 27, 4, 25]]"
3278,"[[1, 8, -1, 6], [1, 90, -1, 88], [2, 173, 0, 171], [0, 18, -2, 16], [0, 174, -2, 172], [0, 209, -2, 207]]"
3279,"[[5, 100, 3, 98], [1, 187, -1, 185], [6, 276, 4, 274], [4, 169, 2, 167], [1, 9, -1, 7], [5, 256, 3, 254], [4, 59, 2, 57], [4, 136, 2, 134]]"
3280,"[[6, 284, 4, 282], [0, 98, -2, 96]]"
3281,"[[3, 223, 1, 221], [0, 16, -2, 14]]"
3282,"[[6, 251, 4, 249], [17, 244, 15, 242], [14, 34, 12, 32], [14, 13, 12, 11]]"
3283,"[[0, 69, -2, 67], [1, 23, -1, 21], [3, 253, 1, 251], [0, 250, -2, 248], [2, 44, 0, 42], [0, 245, -2, 243]]"
3284,"[[3, 13, 1, 11], [3, 154, 1, 152]]"
3285,"[[5, 167, 3, 165], [3, 276, 1, 274], [3, 145, 1, 143], [5, 173, 3, 171], [1, 101, -1, 99], [2, 134, 0, 132], [2, 222, 0, 220], [2, 157, 0, 155], [2, 145, 0, 143]]"
3286,"[[7, 35, 5, 33]]"
3287,"[[1, 66, -1, 64], [11, 52, 9, 50], [8, 87, 6, 85], [8, 164, 6, 162], [4, 116, 2, 114], [9, 227, 7, 225]]"
3288,"[[2, 38, 0, 36], [5, 36, 3, 34], [3, 16, 1, 14], [2, 260, 0, 258], [5, 210, 3, 208], [5, 239, 3, 237], [7, 111, 5, 109], [4, 33, 2, 31]]"
3289,"[[2, 260, 0, 258], [1, 270, -1, 268], [3, 92, 1, 90], [7, 17, 5, 15], [8, 86, 6, 84], [7, 281, 5, 279], [5, 265, 3, 263], [13, 223, 11, 221]]"
3290,"[[5, 217, 3, 215], [12, 143, 10, 141], [7, 51, 5, 49], [0, 199, -2, 197], [13, 142, 11, 140], [13, 64, 11, 62], [9, 233, 7, 231], [10, 285, 8, 283]]"
3291,"[[5, 145, 3, 143], [13, 33, 11, 31], [11, 127, 9, 125], [4, 229, 2, 227], [13, 212, 11, 210], [5, 4, 3, 2], [11, 160, 9, 158], [7, 222, 5, 220], [1, 42, -1, 40], [8, 189, 6, 187]]"
3292,"[[0, 60, -2, 58], [2, 178, 0, 176], [3, 219, 1, 217]]"
3293,"[[1, 77, -1, 75], [2, 147, 0, 145], [1, 146, -1, 144], [0, 57, -2, 55]]"
3294,"[[5, 44, 3, 42], [6, 210, 4, 208], [4, 220, 2, 218], [1, 230, -1, 228], [7, 205, 5, 203], [5, 171, 3, 169], [7, 228, 5, 226]]"
3295,"[[10, 266, 8, 264], [0, 14, -2, 12], [5, 107, 3, 105], [4, 129, 2, 127], [6, 131, 4, 129], [6, 86, 4, 84], [4, 240, 2, 238]]"
3296,[]
3297,"[[10, 195, 8, 193], [7, 132, 5, 130], [16, 197, 14, 195], [3, 202, 1, 200], [13, 108, 11, 106], [4, 54, 2, 52], [11, 233, 9, 231], [9, 202, 7, 200], [0, 50, -2, 48]]"
3298,"[[3, 121, 1, 119], [1, 100, -1, 98]]"
3299,[]
3300,"[[9, 45, 7, 43], [3, 159, 1, 157], [3, 200, 1, 198], [3, 129, 1, 127]]"
3301,[]
3302,"[[12, 298, 10, 296], [1, 259, -1, 257], [2, 187, 0, 185], [12, 158, 10, 156], [10, 66, 8, 64], [2, 299, 0, 297], [3, 35, 1, 33], [10, 45, 8, 43]]"
3303,"[[2, 154, 0, 152], [12, 90, 10, 88], [14, 209, 12, 207], [12, 120, 10, 118], [10, 29, 8, 27], [7, 31, 5, 29]]"
3304,"[[2, 238, 0, 236], [1, 180, -1, 178], [4, 290, 2, 288], [2, 272, 0, 270], [2, 6, 0, 4], [2, 229, 0, 227], [0, 12, -2, 10], [4, 66, 2, 64]]"
3305,"[[0, 199, -2, 197], [3, 262, 1, 260]]"
3306,"[[2, 30, 0, 28], [1, 195, -1, 193], [2, 146, 0, 144], [4, 54, 2, 52], [3, 38, 1, 36], [1, 120, -1, 118], [2, 68, 0, 66], [0, 291, -2, 289], [0, 54, -2, 52], [4, 216, 2, 214]]"
3307,"[[1, 221, -1, 219], [0, 4, -2, 2], [0, 127, -2, 125], [2, 239, 0, 237], [0, 172, -2, 170]]"
3308,"[[4, 281, 2, 279], [6, 226, 4, 224], [3, 100, 1, 98], [4, 106, 2, 104], [3, 110, 1, 108], [5, 261, 3, 259], [0, 54, -2, 52], [9, 277, 7, 275], [7, 289, 5, 287]]"
3309,"[[0, 206, -2, 204], [5, 292, 3, 290], [2, 220, 0, 218], [0, 49, -2, 47], [0, 218, -2, 216], [5, 141, 3, 139], [4, 264, 2, 262], [6, 114, 4, 112], [6, 64, 4, 62], [4, 252, 2, 250]]"
3310,"[[11, 12, 9, 10]]"
3311,"[[5, 65, 3, 63], [1, 229, -1, 227], [0, 16, -2, 14], [7, 219, 5, 217]]"
3312,"[[3, 42, 1, 40], [1, 291, -1, 289], [16, 111, 14, 109], [16, 219, 14, 217], [8, 76, 6, 74], [12, 161, 10, 159]]"
3313,"[[16, 143, 14, 141], [3, 191, 1, 189], [7, 177, 5, 175], [2, 85, 0, 83], [13, 138, 11, 136], [11, 105, 9, 103], [5, 98, 3, 96], [12, 19, 10, 17]]"
3314,"[[3, 95, 1, 93], [2, 246, 0, 244], [2, 158, 0, 156], [3, 150, 1, 148], [0, 195, -2, 193], [4, 300, 2, 298], [2, 205, 0, 203], [0, 243, -2, 241]]"
3315,"[[14, 94, 12, 92], [12, 247, 10, 245], [7, 140, 5, 138], [10, 230, 8, 228], [2, 26, 0, 24], [0, 265, -2, 263]]"
3316,"[[2, 229, 0, 227], [3, 265, 1, 263], [2, 182, 0, 180], [0, 36, -2, 34], [3, 118, 1, 116], [1, 151, -1, 149], [3, 163, 1, 161], [3, 269, 1, 267]]"
3317,"[[1, 223, -1, 221], [14, 139, 12, 137], [12, 115, 10, 113], [18, 83, 16, 81], [18, 48, 16, 46], [15, 68, 13, 66], [17, 171, 15, 169], [9, 230, 7, 228], [10, 55, 8, 53]]"
3318,"[[13, 271, 11, 269]]"
3319,"[[12, 48, 10, 46], [13, 25, 11, 23], [2, 287, 0, 285]]"
3320,"[[10, 292, 8, 290], [8, 226, 6, 224]]"
3321,"[[1, 262, -1, 260], [2, 241, 0, 239], [2, 274, 0, 272], [3, 135, 1, 133], [0, 177, -2, 175], [1, 160, -1, 158], [0, 209, -2, 207], [1, 270, -1, 268]]"
3322,"[[3, 232, 1, 230]]"
3323,"[[6, 161, 4, 159], [1, 28, -1, 26], [5, 92, 3, 90], [0, 50, -2, 48], [4, 49, 2, 47], [6, 42, 4, 40], [4, 289, 2, 287], [0, 182, -2, 180], [0, 53, -2, 51]]"
3324,"[[5, 42, 3, 40], [10, 3, 8, 1], [2, 166, 0, 164], [6, 159, 4, 157], [1, 215, -1, 213], [8, 207, 6, 205], [4, 114, 2, 112], [10, 198, 8, 196], [10, 125, 8, 123]]"
3325,[]
3326,"[[18, 46, 16, 44], [12, 167, 10, 165], [3, 73, 1, 71], [7, 86, 5, 84], [7, 11, 5, 9], [8, 119, 6, 117], [18, 300, 16, 298], [10, 292, 8, 290], [15, 278, 13, 276], [19, 217, 17, 215]]"
3327,"[[10, 267, 8, 265], [8, 254, 6, 252], [9, 115, 7, 113], [5, 175, 3, 173], [7, 14, 5, 12], [3, 166, 1, 164]]"
3328,"[[12, 70, 10, 68], [0, 132, -2, 130], [0, 246, -2, 244], [5, 244, 3, 242]]"
3329,"[[0, 88, -2, 86]]"
3330,"[[0, 275, -2, 273], [5, 283, 3, 281], [6, 83, 4, 81], [2, 223, 0, 221], [1, 93, -1, 91], [6, 285, 4, 283]]"
3331,"[[0, 176, -2, 174], [1, 140, -1, 138], [6, 109, 4, 107], [6, 9, 4, 7], [5, 93, 3, 91], [2, 100, 0, 98], [7, 247, 5, 245]]"
3332,"[[3, 109, 1, 107], [6, 259, 4, 257], [3, 117, 1, 115], [4, 216, 2, 214]]"
3333,"[[12, 129, 10, 127], [5, 119, 3, 117], [14, 64, 12, 62], [3, 69, 1, 67], [13, 229, 11, 227], [2, 131, 0, 129], [3, 229, 1, 227], [9, 161, 7, 159]]"
3334,"[[1, 227, -1, 225], [11, 90, 9, 88], [1, 223, -1, 221], [4, 79, 2, 77], [9, 188, 7, 186], [5, 250, 3, 248], [14, 18, 12, 16], [16, 82, 14, 80], [3, 239, 1, 237]]"
3335,"[[3, 29, 1, 27], [8, 268, 6, 266], [0, 155, -2, 153]]"
3336,"[[7, 167, 5, 165], [14, 97, 12, 95], [10, 123, 8, 121]]"
3337,"[[0, 22, -2, 20], [1, 266, -1, 264], [0, 40, -2, 38], [1, 89, -1, 87], [2, 286, 0, 284], [1, 161, -1, 159], [1, 167, -1, 165]]"
3338,"[[14, 190, 12, 188], [2, 205, 0, 203], [10, 268, 8, 266], [9, 235, 7, 233], [4, 41, 2, 39], [19, 24, 17, 22]]"
3339,"[[0, 227, -2, 225], [6, 71, 4, 69], [9, 59, 7, 57], [6, 28, 4, 26], [8, 183, 6, 181], [8, 218, 6, 216], [7, 254, 5, 252], [1, 184, -1, 182], [10, 113, 8, 111], [7, 109, 5, 107]]"
3340,"[[14, 94, 12, 92], [7, 44, 5, 42]]"
3341,"[[0, 61, -2, 59], [3, 230, 1, 228], [12, 211, 10, 209], [3, 77, 1, 75], [1, 191, -1, 189], [9, 168, 7, 166], [8, 212, 6, 210], [9, 259, 7, 257], [2, 300, 0, 298], [8, 112, 6, 110]]"
3342,"[[2, 14, 0, 12], [1, 151, -1, 149], [1, 172, -1, 170], [0, 289, -2, 287], [2, 181, 0, 179]]"
3343,"[[6, 265, 4, 263], [1, 212, -1, 210], [0, 4, -2, 2], [7, 141, 5, 139], [6, 36, 4, 34], [16, 196, 14, 194], [13, 169, 11, 167]]"
3344,"[[6, 159, 4, 157], [0, 88, -2, 86], [1, 12, -1, 10], [12, 34, 10, 32], [0, 173, -2, 171]]"
3345,"[[3, 62, 1, 60], [0, 201, -2, 199]]"
3346,"[[2, 254, 0, 252], [8, 155, 6, 153], [0, 124, -2, 122], [8, 14, 6, 12], [8, 57, 6, 55], [10, 121, 8, 119], [6, 212, 4, 210], [1, 59, -1, 57], [7, 153, 5, 151]]"
3347,"[[2, 61, 0, 59], [2, 223, 0, 221], [5, 128, 3, 126]]"
3348,"[[1, 120, -1, 118]]"
3349,"[[13, 18, 11, 16], [2, 52, 0, 50], [10, 117, 8, 115], [10, 139, 8, 137], [11, 233, 9, 231], [7, 105, 5, 103], [6, 285, 4, 283], [13, 81, 11, 79]]"
3350,"[[11, 175, 9, 173], [0, 53, -2, 51], [11, 283, 9, 281], [9, 94, 7, 92], [9, 3, 7, 1]]"
3351,"[[1, 9, -1, 7], [3, 143, 1, 141], [1, 273, -1, 271], [9, 222, 7, 220], [1, 72, -1, 70]]"
3352,"[[5, 199, 3, 197], [8, 34, 6, 32], [7, 125, 5, 123], [7, 280, 5, 278], [6, 99, 4, 97], [6, 212, 4, 210], [4, 231, 2, 229], [4, 115, 2, 113]]"
3353,[]
3354,"[[3, 232, 1, 230], [10, 192, 8, 190], [8, 83, 6, 81]]"
3355,"[[9, 198, 7, 196], [15, 268, 13, 266], [4, 276, 2, 274], [7, 42, 5, 40], [9, 30, 7, 28], [6, 103, 4, 101], [4, 13, 2, 11], [12, 236, 10, 234], [3, 47, 1, 45]]"
3356,[]
3357,"[[5, 233, 3, 231], [5, 109, 3, 107], [5, 127, 3, 125], [8, 280, 6, 278], [6, 284, 4, 282], [4, 124, 2, 122], [6, 6, 4, 4], [0, 263, -2, 261]]"
3358,"[[0, 295, -2, 293], [5, 106, 3, 104], [2, 104, 0, 102], [5, 70, 3, 68], [3, 176, 1, 174]]"
3359,"[[0, 90, -2, 88], [2, 75, 0, 73], [7, 212, 5, 210], [6, 77, 4, 75], [0, 109, -2, 107], [7, 14, 5, 12], [7, 98, 5, 96]]"
3360,"[[6, 223, 4, 221], [7, 175, 5, 173], [6, 142, 4, 140], [0, 220, -2, 218], [6, 28, 4, 26], [2, 13, 0, 11], [5, 123, 3, 121], [2, 222, 0, 220], [5, 174, 3, 172]]"
3361,"[[10, 132, 8, 130], [5, 268, 3, 266], [8, 63, 6, 61], [9, 4, 7, 2], [4, 88, 2, 86], [9, 154, 7, 152], [9, 37, 7, 35], [8, 239, 6, 237]]"
3362,"[[1, 42, -1, 40], [3, 102, 1, 100], [2, 41, 0, 39], [3, 92, 1, 90], [0, 182, -2, 180], [2, 220, 0, 218], [3, 101, 1, 99]]"
3363,"[[3, 17, 1, 15], [5, 108, 3, 106], [4, 155, 2, 153], [2, 15, 0, 13], [5, 267, 3, 265], [5, 10, 3, 8], [0, 57, -2, 55], [6, 251, 4, 249]]"
3364,"[[4, 113, 2, 111], [0, 135, -2, 133], [2, 94, 0, 92], [5, 108, 3, 106], [1, 274, -1, 272], [0, 166, -2, 164]]"
3365,"[[2, 42, 0, 40], [12, 18, 10, 16], [10, 104, 8, 102], [9, 295, 7, 293], [1, 122, -1, 120], [9, 24, 7, 22]]"
3366,"[[3, 69, 1, 67], [5, 290, 3, 288], [12, 280, 10, 278], [9, 230, 7, 228], [2, 146, 0, 144], [12, 150, 10, 148], [0, 191, -2, 189], [11, 67, 9, 65], [3, 268, 1, 266], [9, 264, 7, 262]]"
3367,[]
3368,"[[6, 6, 4, 4], [0, 219, -2, 217], [6, 255, 4, 253], [2, 204, 0, 202], [6, 14, 4, 12], [8, 156, 6, 154], [6, 82, 4, 80]]"
3369,"[[3, 154, 1, 152], [4, 147, 2, 145]]"
3370,"[[1, 284, -1, 282]]"
3371,"[[16, 145, 14, 143]]"
3372,"[[3, 23, 1, 21], [1, 225, -1, 223], [3, 10, 1, 8], [4, 291, 2, 289], [4, 90, 2, 88], [5, 146, 3, 144], [3, 248, 1, 246]]"
3373,"[[7, 163, 5, 161], [3, 146, 1, 144], [6, 217, 4, 215], [6, 75, 4, 73], [9, 14, 7, 12], [6, 229, 4, 227], [4, 157, 2, 155], [6, 172, 4, 170], [3, 157, 1, 155], [3, 216, 1, 214]]"
3374,"[[4, 159, 2, 157], [2, 156, 0, 154], [2, 219, 0, 217], [2, 39, 0, 37], [4, 287, 2, 285], [2, 80, 0, 78]]"
3375,"[[9, 68, 7, 66], [13, 245, 11, 243], [10, 215, 8, 213], [3, 29, 1, 27], [6, 72, 4, 70], [1, 261, -1, 259], [7, 6, 5, 4], [8, 16, 6, 14]]"
3376,"[[1, 214, -1, 212], [1, 245, -1, 243], [7, 299, 5, 297], [9, 299, 7, 297], [5, 168, 3, 166], [4, 285, 2, 283], [0, 74, -2, 72], [9, 197, 7, 195], [9, 46, 7, 44], [6, 60, 4, 58]]"
3377,"[[8, 36, 6, 34], [3, 92, 1, 90], [0, 95, -2, 93], [7, 12, 5, 10], [4, 95, 2, 93]]"
3378,"[[2, 23, 0, 21], [2, 160, 0, 158], [6, 91, 4, 89], [6, 119, 4, 117], [1, 136, -1, 134], [5, 287, 3, 285], [6, 186, 4, 184], [3, 172, 1, 170], [3, 106, 1, 104], [1, 187, -1, 185]]"
3379,"[[19, 133, 17, 131], [3, 51, 1, 49], [19, 33, 17, 31], [4, 233, 2, 231], [19, 175, 17, 173], [0, 6, -2, 4], [10, 13, 8, 11], [12, 113, 10, 111], [2, 188, 0, 186], [10, 205, 8, 203]]"
3380,"[[4, 108, 2, 106], [3, 254, 1, 252]]"
3381,"[[1, 119, -1, 117], [15, 62, 13, 60], [6, 209, 4, 207], [5, 56, 3, 54], [2, 39, 0, 37], [3, 205, 1, 203], [4, 8, 2, 6], [10, 47, 8, 45], [4, 95, 2, 93], [11, 250, 9, 248]]"
3382,"[[12, 41, 10, 39], [3, 59, 1, 57]]"
3383,"[[2, 60, 0, 58], [1, 200, -1, 198], [1, 173, -1, 171], [2, 264, 0, 262]]"
3384,"[[0, 281, -2, 279], [0, 280, -2, 278], [0, 118, -2, 116], [4, 24, 2, 22], [0, 55, -2, 53], [2, 15, 0, 13]]"
3385,"[[1, 183, -1, 181], [5, 207, 3, 205], [2, 69, 0, 67], [0, 266, -2, 264], [0, 267, -2, 265], [4, 161, 2, 159], [4, 192, 2, 190], [0, 252, -2, 250], [2, 152, 0, 150]]"
3386,[]
3387,"[[2, 174, 0, 172]]"
3388,"[[3, 119, 1, 117], [3, 22, 1, 20]]"
3389,[]
3390,"[[4, 293, 2, 291]]"
3391,"[[12, 101, 10, 99]]"
3392,"[[4, 202, 2, 200], [1, 267, -1, 265], [4, 207, 2, 205], [10, 34, 8, 32], [4, 95, 2, 93], [4, 292, 2, 290], [2, 112, 0, 110], [8, 149, 6, 147], [3, 35, 1, 33]]"
3393,"[[0, 40, -2, 38], [0, 78, -2, 76], [1, 200, -1, 198], [0, 193, -2, 191], [7, 12, 5, 10], [4, 275, 2, 273], [11, 154, 9, 152], [6, 224, 4, 222]]"
3394,"[[0, 185, -2, 183], [4, 212, 2, 210], [7, 146, 5, 144], [2, 170, 0, 168], [9, 30, 7, 28], [4, 300, 2, 298], [1, 2, -1, 0], [7, 95, 5, 93], [3, 153, 1, 151]]"
3395,"[[1, 261, -1, 259], [2, 266, 0, 264]]"
3396,"[[16, 188, 14, 186], [7, 212, 5, 210]]"
3397,"[[17, 45, 15, 43], [17, 272, 15, 270], [0, 173, -2, 171], [6, 224, 4, 222], [2, 109, 0, 107], [4, 38, 2, 36]]"
3398,"[[0, 106, -2, 104], [3, 246, 1, 244], [0, 108, -2, 106], [2, 21, 0, 19], [2, 276, 0, 274]]"
3399,"[[5, 67, 3, 65], [4, 213, 2, 211], [0, 45, -2, 43], [2, 264, 0, 262], [5, 207, 3, 205], [0, 51, -2, 49], [8, 213, 6, 211], [8, 220, 6, 218], [5, 138, 3, 136], [4, 223, 2, 221]]"
3400,"[[4, 32, 2, 30], [0, 40, -2, 38]]"
3401,"[[2, 6, 0, 4], [4, 96, 2, 94], [5, 290, 3, 288]]"
3402,"[[2, 151, 0, 149], [13, 18, 11, 16], [10, 269, 8, 267], [4, 204, 2, 202], [12, 115, 10, 113], [7, 172, 5, 170]]"
3403,"[[8, 61, 6, 59], [8, 186, 6, 184], [9, 117, 7, 115], [5, 172, 3, 170]]"
3404,"[[6, 110, 4, 108], [8, 27, 6, 25], [16, 235, 14, 233], [7, 225, 5, 223], [14, 200, 12, 198]]"
3405,"[[5, 216, 3, 214], [0, 153, -2, 151], [7, 239, 5, 237], [2, 166, 0, 164], [3, 208, 1, 206], [0, 142, -2, 140], [4, 174, 2, 172], [1, 108, -1, 106], [8, 141, 6, 139], [5, 31, 3, 29]]"
3406,"[[12, 232, 10, 230], [2, 39, 0, 37]]"
3407,"[[2, 278, 0, 276], [8, 243, 6, 241], [1, 73, -1, 71]]"
3408,"[[5, 222, 3, 220], [7, 59, 5, 57], [12, 113, 10, 111]]"
3409,"[[4, 108, 2, 106]]"
3410,"[[0, 178, -2, 176], [0, 12, -2, 10], [2, 299, 0, 297], [2, 68, 0, 66], [1, 135, -1, 133]]"
3411,"[[6, 249, 4, 247], [11, 250, 9, 248]]"
3412,"[[3, 207, 1, 205], [3, 281, 1, 279]]"
3413,"[[4, 14, 2, 12], [1, 284, -1, 282], [0, 14, -2, 12]]"
